State/UT,Currently employed,Not currently employed,Not employed in last 12 months,Total
India,25.2,5.2,69.5,100.0
Chandigarh,20.5,1.6,78.0,100.0
Delhi,22.5,2.9,74.7,100.0
Haryana,18.9,3.8,77.2,100.0
Himachal Pradesh,23.9,3.2,72.9,100.0
Jammu & Kashmir,21.9,7.5,70.6,100.0
Ladakh,27.2,13.4,59.4,100.0
Punjab,21.7,3.2,75.1,100.0
Rajasthan,22.0,6.3,71.7,100.0
Uttarakhand,22.0,5.0,73.0,100.0
Chhattisgarh,31.3,16.1,52.6,100.0
Madhya Pradesh,27.8,7.4,64.8,100.0
Uttar Pradesh,16.7,4.1,79.3,100.0
Bihar,14.3,3.2,82.5,100.0
Jharkhand,21.8,3.8,74.4,100.0
Odisha,23.2,5.5,71.3,100.0
West Bengal,18.5,3.2,78.3,100.0
Arunachal Pradesh,29.5,9.1,61.4,100.0
Assam,17.9,3.1,79.0,100.0
Manipur,40.1,9.1,50.8,100.0
Meghalaya,41.7,6.0,52.3,100.0
Mizoram,25.1,10.1,64.8,100.0
Nagaland,33.7,4.9,61.4,100.0
Sikkim,31.4,7.5,61.1,100.0
Tripura,21.7,9.2,69.1,100.0
Dadra & Nagar Haveli and Daman & Diu,29.7,2.6,67.8,100.0
Goa,30.7,2.4,66.8,100.0
Gujarat,33.2,5.2,61.5,100.0
Maharashtra,36.7,4.2,59.1,100.0
Andaman & Nicobar Islands,25.1,0.2,74.7,100.0
Andhra Pradesh,37.3,10.3,52.3,100.0
Karnataka,35.1,5.8,59.1,100.0
Kerala,22.8,3.3,73.9,100.0
Lakshadweep,9.2,1.7,89.1,100.0
Puducherry,33.0,6.4,60.7,100.0
Tamil Nadu,36.8,6.0,57.2,100.0
Telangana,38.6,9.7,51.8,100.0
